customer_code,account_type,customer_name,salesperson,suburb,state,postcode,customer_group,customer_type,customer_ranking,email,phone
ADARF,Standard,Archer Facades Consignment,UNASSIGNED,Nan,UNKNOWN,0,UNCATEGORIZED,Standard,UNRANKED,NO_EMAIL_PROVIDED,NO_PHONE_PROVIDED
ADART,Standard,A Dart & Co,Q3,Salisbury,QLD,4107,A0,Commercial Construct,A-POTENT,accounts@adartco.com.au,+61733659900
ADHGOLD,Internal,Adheseal Gold Coast,HOGC,Molendinar,QLD,4214,UNCATEGORIZED,Standard,UNRANKED,fin.s@adheseal.com.au,+61756811111
ADHSLACK,Internal,Adheseal Slacks Creek,HO,Slacks Creek,QLD,4127,UNCATEGORIZED,Standard,UNRANKED,fin.s@adheseal.com.au,+61731116666
ADHSUNNY,Internal,Adheseal Sunshine Coast,HO,Kunda Park,QLD,4556,UNCATEGORIZED,Standard,UNRANKED,fin.s@adheseal.com.au,54770022
ADHTOO,Internal,Adheseal Toowoomba,HO,Nan,UNKNOWN,0,UNCATEGORIZED,Standard,UNRANKED,fin.s@adheseal.com.au,+61731100377
ADROIT,Cash Sale,Adroit Tiling,Q3,Rochedale,QLD,4123,UNCATEGORIZED,Bathroom,A-OCCASI,diegojarman@gmail.com,+61419675684
ADTILING,Cash Sale,Ad Tiling,Q3,Moggill,QLD,4070,TILER,Bathroom,FOL-UP,ollix53942@hotmail.com,+61417611712
ADVADISP,Standard,Advanced Display Systems Pty Ltd,HO,Eagle Farm,QLD,4009,UNCATEGORIZED,Adhesive Supplies,A-MONITO,accounts@advdis.com.au,+61738618888
ADVANCON,Standard,Advanced Concrete Engineering Pty Ltd,HO,Brendale,QLD,4500,CONST,Masonry,I-POTENT,admin@acebuilt.com.au,+61733764400
ADVANINS,Cash Sale,Advanced Insulation & Fabrications,HO,Stafford,QLD,4053,UNCATEGORIZED,Misc Construction,A-NEVER,mouzzie@aismf.com.au,+61478120085
ADVANMET,Standard,Advanced Metal Products Pty Ltd,Q2,Warwick,QLD,4370,UNCATEGORIZED,Sheet Metal,A-OCCASI,info@advancedmetal.com.au,46614938
ADVANMOB,Cash Sale,Advanced Mobility,GC OFFICE,Molendinar,QLD,4214,APP D,Misc Industrial,A-MONITO,sales@advancedmobility.biz,+61755633966
ADVCOAT,Standard,Advanced Coatings Pty Ltd,Q3,Sunnybank Hills,QLD,4109,UNCATEGORIZED,Masonry,FOL-UP,tkling@bigpond.net.au,+61418735572
ADVFIX,Cash Sale,Advanced Fix Waterproofing,Q3,Eight Mile Plains,QLD,4113,UNCATEGORIZED,Waterproofing,FOL-UP,Allseal@Australiaonline.net.au,+61408193913
ADVJOIN,Standard,Advanced Joinery Solutions,Q4,Coolum Beach,QLD,4573,JOINERY,Joinery & Cabinet,A-MONITO,accounts@advancedjoinerysolutions.com,54739540
AEROFAST,Standard,Aerofast Australia Pty Ltd,SHARED,Logan City Bc,QLD,4114,RESELLER,Fastening Shop,A-OCCASI,accounts@aerofast.com.au,+61732994555
AFFORDPO,Cash Sale,Affordable Pool & Spa Repairs,Q4,Dulong,QLD,4560,CONST,Misc Construction,A-MONITO,mickkyl@bigpond.com,+61407353726
AFFORHOU,Standard,Affordable House Company,Q3,Gumdale,QLD,4154,UNCATEGORIZED,Domestic Builder,I-POTENT,accounts@ahcbrisbane.com.au,+61733966500
AFFPOOL,Standard,Affordable Pool Heating Pty Ltd,Q8,Oxenford,QLD,4210,CONST,Misc Industrial,A-MONITO,david@affordablesolar.com.au,1300136395
AGCINSTA,Standard,Agc Installations,Q5,New Beith,QLD,4124,GLASS,Window Fixer,A-VIP,accounts@agcinstall.com.au,+61417587626
AGCOAT,Cash Sale,Ag Coatings Pty Ltd,Q3,Meadowbrook,QLD,4131,UNCATEGORIZED,Painter,A-POTENT,account@agcoating.com.au,+61414461553
AIMCONTR,Cash Sale,Aim Contracting Pty Ltd,Q3,Cleveland,QLD,4163,A0,Masonry,FOL-UP,accounts@aimgroup.com.au,+61732071033
AJBLACAU,Standard,A J Blackwood,Q0,Artarmon,NSW,2064,RESELLER,Industrial Supplies,I-POTENT,barpaint@bigpond.com,+61294360259
AJCBUILD,Standard,Ajc Building & Maintenance,SLKOFFICE,Munruben,QLD,4125,UNCATEGORIZED,Domestic Builder,A-MONITO,accounts@ajcbuilding.com.au,+61403184964
AJLPROJE,Standard,Ajl Projects Pty Ltd #2972,Q3,Sunnybank Hills,QLD,4109,TB,Trade Builder,A-MONITO,admin@ajlprojects.com.au,+61732733302
AJSHELL,Standard,Aj Shelley Coatings,Q4,Noosaville,QLD,4566,A1,Waterproofing,A-OCCASI,ajcoatings@bigpond.com,+61413333902
AJSTTIL,Cash Sale,Aj & St Tiling Pty Ltd,Q2,Ironbark,QLD,4306,APP C,Bathroom,FOL-UP,aaron.toombs@hotmail.com,+61409024662
AKITIL,Cash Sale,Aki's Tiling Pty Ltd,Q3,Regents Park,QLD,4118,UNCATEGORIZED,Bathroom,NEW-ACCE,alenradmanovic@hotmail.com,+61422759629
ALBURY,Cash Sale,Albury Projects #2532,HO,Eatons Hill,QLD,4037,TB,Trade Builder,I-POTENT,steve@alburyprojects.com.au,+61414658807
ALIGNBUI,Standard,Aligned Building & Construction Pty Ltd,SLKOFFICE,Underwood,QLD,4119,UNCATEGORIZED,Domestic Builder,FOL-UP,accounts@alignedbc.com.au,+61434193630
ALIGNDES,Cash Sale,Align Design & Fitout,Q4,Kunda Park,QLD,4556,JOINERY,Shop Fitter,A-POTENT,accounts@adaf.com.au,+61403589394
ALJAYCAB,Standard,Aljay Cabinets & Carpentry,Q1,Brendale,QLD,4500,UNCATEGORIZED,Joinery & Cabinet,A-OCCASI,jenni@aljaycabinets.com.au,+61738897977
ALLABOU,Standard,All About Stone Pty Ltd,HO,Clontarf Dc,QLD,4019,STONE,Stone,A-MONITO,allaboutstone@bigpond.com,+61732833630
ALLARO,Cash Sale,All Around Tiling,Q1,Stafford Heights,QLD,4053,UNCATEGORIZED,Bathroom,A-POTENT,justin@allaroundtiling.com.au,+61401792868
ALLBUILD,Cash Sale,All Build Projects,Q2,North Toowoomba,QLD,4356,UNCATEGORIZED,Commercial Construct,A-OCCASI,info@allbuildprojects.com,+61409477591
ALLCAST,Standard,Allcast Precast,Q4,Woombye,QLD,4559,A1,Tilt Panel,A-SERVIC,bissettcompany@receiptbank.me,54422522
ALLCONJO,Standard,All Construction Joint Sealing Qld,Q4,Kawungan,QLD,4655,UNCATEGORIZED,Commercial Caulking,NEW-ACCE,acjs.qld@gmail.com,+61410489964
ALLCSTON,Standard,All Coast Stone N Joinery,Q4,Buderim,QLD,4556,STONE,Stone,A-SERVIC,paul.allcoaststone@gmail.com,+61402082617
ALLCWPR,Standard,Allcoast Waterproofing,Q4,Mooloolah Valley,QLD,4553,A1,Waterproofing,A-VIP,allcoastwaterproofing@hotmail.com,+61754947712
ALLFAST,Standard,Allfasteners Pty Ltd,Q3,Ermington,NSW,2115,UNCATEGORIZED,Fastening Shop,NEW-ACCE,ap.nsw@allfasteners.com.au,+61739997444
ALLFIX,Standard,Allfix Fasteners Pty Ltd,SHARED,Underwood,QLD,4119,RESELLER,Fastening Shop,A-POTENT,admin2@allfixfasteners.com.au,+61732901466
ALLHANDS,Standard,All Hands On Renovations,HO,Eatons Hill,QLD,4037,UNCATEGORIZED,Domestic Builder,A-POTENT,info@allhandson.com.au,+61468764064
ALLIED,Standard,Allied Rubber Technologies,HO,Everton Hills,QLD,4053,IND,Misc Industrial,A-MONITO,accounts@alliedrubber.com.au,+61733567533
ALLIEDAI,Standard,Allied Air Conditioning & Refrigeration Cash,Q0,Coffs Harbour,NSW,2450,IND,Coldroom,A-VIP,reception@alliedac.net,+61266525366
ALLIEDCO,Standard,Allied Concrete Cutting And Drilling,Q1,Brendale,QLD,4500,CONST,Masonry,A-POTENT,accounts@alliedconcretecutting.com.au,1300111288
ALLSAFE,Standard,Allsafe Access Property Maintenance Cash,Q8,Hope Island,QLD,4212,UNCATEGORIZED,Commercial Caulking,I-POTENT,adam@allsafeaccess.com,+61492936634
ALLSCOPE,Cash Sale,Allscope Interior Fitouts,Q4,Caloundra Dc,QLD,4551,CONST,Shop Fitter,I-NEVER,dave@allscopefitouts.com.au,+61438844607
ALLSTONE,Standard,All Stone Specialists Pty Ltd,Q1,Hendra,QLD,4011,STONE,Stone,A-POTENT,jake@allstonespecialists.com.au,+61732683933
ALLSTONQ,Cash Sale,All Stone Qld Pty Ltd,Q8,Molendinar,QLD,4214,APP D,Stone,A-OCCASI,accounts@allstoneqld.com.au,+61424737695
ALLSURF,Standard,All Surface Solutions,Q3,Cornubia,QLD,4130,CONST,Joinery & Cabinet,A-POTENT,allsurfacesolutions1@gmail.com,+61732084644
ALLTHING,Cash Sale,All Things Fibreglass,Q1,Caboolture,QLD,4510,UNCATEGORIZED,Misc Industrial,NEW-ACCE,info@atfibreglass.com.au,53301446
ALLWELD,Standard,Allweld Manufacturing Pty Ltd,Q4,Tinana,QLD,4650,IND,Misc Industrial,A-SERVIC,accounts@allweldmanufacturing.com.au,41234244
ALPHALIN,Cash Sale,Alphaline,Q1,Brendale,QLD,4500,UNCATEGORIZED,Domestic Builder,A-OCCASI,nathan.smith@alphaline.au,1300584663
ALPHASTO,Standard,Alpha Stone Benchtops Pty Ltd,Q1,Caboolture,QLD,4510,UNCATEGORIZED,Stone,A-OCCASI,admin@alphastonebenchtops.com.au,54951120
ALPHAWAT,Standard,Alpha Waterproofing Pty Ltd,Q1,Brendale,QLD,4500,UNCATEGORIZED,Waterproofing,NEW-ACCE,andreas@alphawaterproofing.com.au,+61425799337
ALPINE,Standard,Alpine Campers,Q4,Pacific Paradise,QLD,4564,IND,Auto Manufacturer,A-SERVIC,accounts@aaccampers.com.au,1300367181
ALTERMOD,Cash Sale,Alternative Modular Homes,Q2,Toowoomba,QLD,4350,UNCATEGORIZED,Misc Construction,A-POTENT,admin@alternativemodularhomes.com.au,+61477331550
ALTITUDE,Cash Sale,Altitude Refrigeration Solutions,Q8,Gold Coast Mc,QLD,4217,APP D,Misc Construction,A-POTENT,ryan@altituderefrigeration.com.au,+61415829322
ALTOPAC,Standard,Alto Pacific Pty Ltd,Q4,Kunda Park,QLD,4556,CONST,Masonry,NEW-ACCE,accounts@altopacific.com.au,54534177
AMBIPRO,Cash Sale,Ambient Projects,Q1,Caboolture,QLD,4510,UNCATEGORIZED,Joinery & Cabinet,NEW-ACCE,info@ambientprojects.com.au,+61488057211
AMBROSE,Cash Sale,Ambrose Design & Construct,HO,Albany Creek,QLD,4035,UNCATEGORIZED,Domestic Builder,A-MONITO,accounts@ambrose.com.au,+61733259141
AMCON,Standard,Am Construction Services,Q1,Brighton,QLD,4017,CONST,Waterproofing,A-MONITO,amconstruct@bigpond.com,+61738694887
AMGSEAL,Cash Sale,Adam Guilliamse,SC OFFICE,Nirimba,QLD,4551,A0,Commercial Caulking,I-NO POT,amgclean@outlook.com.au,+61424650561
ANCHOR,Cash Sale,Anchorage Building Services,Q5,Bundall,QLD,4217,APP D,Domestic Builder,A-POTENT,jon@anchoragebuilding.com.au,+61451886332
ANDBUILD,Standard,Andbuild Commercial Projects Pty Ltd,Q1,Brighton,QLD,4017,UNCATEGORIZED,Shop Fitter,NEW-ACCE,accounts@andbuild.com.au,+61732671718
ANDERSON,Cash Sale,Simon Anderson,Q4,Glenview,QLD,4553,A1,Commercial Caulking,A-MONITO,andersons355@outlook.com,+61403772907
ANDGLEE,Standard,Andrew Gleeson Plumbing Pty Ltd,Q3,Capalaba,QLD,4157,UNCATEGORIZED,Plumber,NEW-ACCE,office@gleesonplumbing.com.au,+61738235599
ANDLYONS,Standard,Andrew Lyons Tiling Pty Ltd 14 Days,Q2,Mt Kynoch,QLD,4350,UNCATEGORIZED,Bathroom,A-MONITO,accounts@andrewlyonstiling.com.au,+61407742959
ANDREI,Cash Sale,Andrei Laveglia,Q3,Tamborine,QLD,4270,UNCATEGORIZED,Commercial Caulking,NEW-ACCE,andreilaveglia@hotmail.com,+61435190640
ANDREW,Cash Sale,Andrew's Building,Q4,Mountain Creek,QLD,4557,UNCATEGORIZED,Domestic Builder,A-MONITO,andrewbint@gmail.com,+61754444090
ANDYSCVR,Cash Sale,Andy's Caravan Repairs,Q2,Harristown,QLD,4350,UNCATEGORIZED,Auto Manufacturer,I-POTENT,andy.jessen@mail.com,+61413517899
ANORA,Standard,Anora Foundations Pty Ltd,Q3,Darra,QLD,4076,UNCATEGORIZED,Masonry,NEW-ACCE,accounts@anora.com.au,+61732797966
ANYTHING,Cash Sale,Offroad Grit Rv,Q1,Caboolture,QLD,4510,UNCATEGORIZED,Auto Manufacturer,NEW-ACCE,admin@offroadgrit.com.au,+61400008620
AOSSAG,Cash Sale,Aussie Auto Glass,Q3,Coopers Plains,QLD,4108,UNCATEGORIZED,Windscreen Installer,NEW-ACCE,NO_EMAIL_PROVIDED,+61406005928
APEXFAC,Cash Sale,Apex Facades Rope Access Brisbane,Q3,Tingalpa,QLD,4173,UNCATEGORIZED,Window Fixer,I-NEVER,brett@apexfacades.com.au,+61721117202
APEXPROJ,Standard,Apex Projects Qld Pty Ltd,Q4,Buderim,QLD,4556,UNCATEGORIZED,Misc Construction,NEW-ACCE,accounts@apexqld.com,+61435766121
APLUS,Cash Sale,A Plus Joint Sealing,Q4,Buderim,QLD,4556,UNCATEGORIZED,Commercial Caulking,A-MONITO,aplusjointsealing@gmail.com,+61413940497
APSIGNS,Cash Sale,Ap Signs Pty Ltd,Q1,Kallangur,QLD,4503,UNCATEGORIZED,Signage,NEW-ACCE,marc@apsigns.com.au,+61733582255
APSNORTH,Standard,Aps Northern Pty Ltd,Q3,Hemmant,QLD,4174,UNCATEGORIZED,Tilt Panel,NEW-ACCE,qld@apspt.com.au,+61732795590
AQUABATH,Cash Sale,Aquashield Bathrooms,Q3,Wacol,QLD,4076,TILER,Bathroom,I-GOLD,info@aquashieldbathrooms.com.au,+61734664982
AQUAMAN,Cash Sale,Aquaman Installations,Q5,Mermaid Beach,QLD,4218,UNCATEGORIZED,Standard,NEW-ACCE,info@aquamaninstallations.com.au,+61415316653
AQUAPRE,Standard,Aquarius Precast,Q3,Acacia Ridge,QLD,4110,CONST,Masonry,I-POTENT,enquiries@aquariusprecast.com.au,+61734415100
AQUARES,Cash Sale,Aqua Resist Waterproofing,UNASSIGNED,Sumner,QLD,4074,UNCATEGORIZED,Waterproofing,CLOSED,archie@aquaresist.com.au,+61730631362
AQUASEAL,Standard,Aqua Seal Waterproofing,Q4,Baringa,QLD,4551,UNCATEGORIZED,Waterproofing,A-POTENT,aqua.seal2024@gmail.com,+61493435203
AQUATIC,Standard,Aquatic Project Solutions,ONLINE-LN,Smithfield,QLD,4878,UNCATEGORIZED,Masonry,NEW-ACCE,accounts@aquaticprojectsolutions.com.au,1300515016
ARCGOLD,Standard,Arcgold Tiling Pty Ltd,Q4,Twin Waters,QLD,4564,TILER,Bathroom,A-POTENT,milan@arcgold.com.au,54489667
ARCHER,Cash Sale,Archer Facades Pty Ltd,Q3,Daisy Hill,QLD,4127,A0,Facade Cladding,A-VIP,admin@archerfacades.com.au,+61732996877
ARCHGL,Cash Sale,Archer Glass,Q3,Salisbury,QLD,4107,UNCATEGORIZED,Window Fixer,A-OCCASI,darren@archerglass.com,+61732768222
ARCHISEA,Standard,Archiseal,Q8,Palm Beach,QLD,4221,APP D,Commercial Caulking,A-POTENT,jai@archiseal.com.au,+61434536669
ARCHITEC,Standard,Architectural Timber Joinery,Q3,Wacol,QLD,4076,JOINERY,Joinery & Cabinet,A-SERVIC,admin@atjoinery.com.au,+61732714272
ARCTICSE,Cash Sale,Arctic Sealants,Q3,Woodridge,QLD,4114,UNCATEGORIZED,Commercial Caulking,NEW-ACCE,bennetj2@arcticsealants.com,+61413722153
ARCWIN,Cash Sale,Architectural Windows & Doors,HO,Brendale,QLD,4500,UNCATEGORIZED,Windscreen Installer,A-OCCASI,carlie@windowsdoors.com.au,+61738898800
ARDEN,Standard,Arden Building Maintenance Qld,Q3,Acacia Ridge,QLD,4110,CONST,Misc Construction,A-POTENT,qldaccounts@ardenbuilding.com,+61732625137
ARETE,Cash Sale,Arete Joinery,Q1,Northgate,QLD,4013,UNCATEGORIZED,Joinery & Cabinet,A-OCCASI,fred@aretejoinery.com.au,+61403606996
ARIAENG,Cash Sale,Aria Engineering,Q1,Fig Tree Pocket,QLD,4069,UNCATEGORIZED,Misc Construction,NEW-ACCE,accounts@aria.en.engineering,1300523538
ARISETIL,Cash Sale,Arise Tiling Pty Ltd,Q4,Palmwoods,QLD,4555,UNCATEGORIZED,Waterproofing,A-POTENT,arisetiling@hotmail.com,+61433465295
ARMOURIL,Standard,Armour Lining Aust Pty Ltd,Q4,Maroochydore,QLD,4558,A0,Misc Industrial,A-MONITO,armourlinings@bigpond.com,54421466
ARNOLDS,Standard,Arnolds Fibreglass Repairs Pty Ltd,SLKOFFICE,Hemmant,QLD,4174,IND,Misc Industrial,A-MONITO,arnoldsfibreglass@bigpond.com,+61738901768
ARROWT,Standard,Arrow Transport Repairs,Q3,Larapinta,QLD,4110,AUTO,Auto Manufacturer,A-POTENT,admin@arrowtptrepairs.com.au,+61737115101
ARTISTIC,Cash Sale,A Artistic Tiling Pty Ltd,Q3,Runcorn,QLD,4113,APP C,Bathroom,NEW-ACCE,artistic@optusnet.com.au,+61418194397
ARTSILIC,Cash Sale,Art Of Silicone,Q4,Lake Macdonald,QLD,4563,UNCATEGORIZED,Commercial Caulking,A-NEVER,artofsil01@gmail.com,+61424084336
ASCOTGRO,Standard,Ascot Group Building Pty Ltd,Q3,Hotham Hill,VIC,3051,UNCATEGORIZED,Commercial Construct,NEW-ACCE,accounts@ascot-group.com.au,+61393281888
ASHEETA,Cash Sale,Asheeta Glass & Aluminium,Q8,Molendinar,QLD,4214,APP D,Glass & Alum,A-OCCASI,darynjo@hotmail.com,+61418505436
ASPECT,Standard,Aspect Cabinetmakers Pty Ltd,Q1,Caboolture,QLD,4510,JOINERY,Joinery & Cabinet,A-SERVIC,accounts@aspectcabinetmakers.com.au,1300551054
ASPIRE,Cash Sale,Aspire Coatings Sunshine Coast,Q4,Woombye,QLD,4559,UNCATEGORIZED,Waterproofing,NEW-ACCE,stephen.scott@aspirecoatings.com,+61457375696
ASPIREFA,Cash Sale,Aspire Facades Group Qld,Q5,Guanaba,QLD,4210,UNCATEGORIZED,Window Fixer,I-POTENT,accounts@aspirefacades.com.au,+61410431800
ASSOCGAS,Standard,Associated Gaskets Pty Ltd,HO,Revesby North,NSW,2212,RESELLER,Misc Industrial,A-MONITO,purchasing@agaus.com.au,+61732571144
ASSOMAS,Standard,Associated Masonry Supplies Pty Ltd,HO,Winnellie,NT,820,UNCATEGORIZED,Masonry Supplies,NEW-ACCE,accounts@associatedmasonry.com.au,+61889843269
ASSURED,Standard,Assured Concreting Services,Q4,Buddina,QLD,4575,CONST,Masonry,A-OCCASI,accounts@assuredconcreting.com.au,+61400322769
ATECH,Cash Sale,A-Tech Pty Ltd,UNASSIGNED,Molendinar,QLD,4214,APP D,Window Fixer,A-POTENT,invoices@atechaustralia.com.au,1300775525
ATMTANKS,Cash Sale,Atm Tanks,Q8,Gold Coast Mc,QLD,4217,UNCATEGORIZED,Masonry,A-POTENT,info@atmtanks.com.au,1800422444
ATOMIC,Standard,Atomic Signs Pty Ltd,Q1,Geebung,QLD,4034,IND,Signage,A-POTENT,info@atomicsigns.com.au,+61738654037
ATOMSUPP,Standard,Atom Supply,Q1,Cloverdale,WA,6985,RESELLER,Industrial Supplies,A-POTENT,invoices@atom.com.au,+61892514200
AUSCOOL,Standard,Auscool Contractors Pty Ltd,Q3,Capalaba,QLD,4157,UNCATEGORIZED,Coldroom,FOL-UP,accounts@auscoolcontractors.com.au,+61412062697
AUSDEV,Standard,Ausdev Builders,Q1,Brisbane,QLD,4000,CONST,Commercial Construct,A-MONITO,accounts@ausdev.com.au,1300287338
AUSEUFLO,Cash Sale,Australian European Flooring,Q0,Edinburgh North,SA,5113,UNCATEGORIZED,Timber Supplies,I-NEVER,info.austandeuflooring@gmail.com,+61883740836
AUSKIW,Standard,Auskiw Homes,SLKOFFICE,Wynnum,QLD,4178,CONST,Domestic Builder,I-NO POT,darrin@auskiwhomes.com.au,+61413612244
AUSPANEL,Standard,Auspanel,Q3,Slacks Creek,QLD,4127,A0,Facade Cladding,NEW-ACCE,info@auspanel.com.au,+61402392360
AUSSEAL,Cash Sale,Australian Sealing Company,Q3,Bahrs Scrub,QLD,4207,APP D,Waterproofing,A-POTENT,andreisamuel96@hotmail.com,+61468478825
AUSSFIT,Standard,Aussie Fitouts Pty Ltd,Q1,Lawnton,QLD,4501,UNCATEGORIZED,Joinery & Cabinet,A-OCCASI,accounts@aussiefitouts.com.au,+61738811778
AUSSIE,Cash Sale,Aussie Stone Kitchens,Q4,Mount Coolum,QLD,4573,STONE,Stone,I-POTENT,aussiestonekitchens@bigpond.com,NO_PHONE_PROVIDED
AUSSIET,Standard,Aussie Tiny Houses,Q4,Coolum Beach,QLD,4573,IND,Misc Construction,A-OCCASI,accounts@aussietinyhouses.com.au,53242499
AUSSISUN,Standard,Aussie Sunshine Constructions Pty Ltd,Q2,Centenary Heights,QLD,4350,UNCATEGORIZED,Commercial Construct,A-POTENT,admin@aussiesunshine.com.au,+61459990990
AUSSLA,Standard,Australian Energy Systems,Q3,Springwood,QLD,4127,AF,Misc Industrial,A-SERVIC,accounts@poolheating.com.au,+61732992700
AUSTECH,Cash Sale,Austech Developments,Q3,Sunnybank,QLD,4109,AF,Misc Construction,I-NEVER,NO_EMAIL_PROVIDED,+61732003883
AUSTMAR,Standard,Australian Marine & Civil Pty Ltd,Q1,Samford,QLD,4520,INACTIVE,Masonry,I-POTENT,accounts@marinecivil.com.au,NO_PHONE_PROVIDED
AUSTMAS,Cash Sale,Australian Master Marine Pty Ltd,Q1,Brendale,QLD,4500,MARINE,Marine Manufacturer,A-POTENT,linda@australianmastermarine.com.au,+61738897380
AUSTOFF,Standard,Australian Off Road,Q4,Caloundra,QLD,4551,IND,Auto Manufacturer,A-SERVIC,accounts@australianoffroad.com.au,53900300
AUSTPREC,Standard,Australian Quality Precast,Q3,Ormeau,QLD,4208,IND,Masonry,I-NEVER,admin@australianqualityprecast.com,NO_PHONE_PROVIDED
